,img_h,error,Clump,Misread,Area,Perimeter,Solidity,Major_axis_length,Minor_axis_length,Equivalent_diameter,Eccentricity,Extent,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Correlation,Bounding_box,Entropy
Abies cephalonica1-1,972,0,0,0,185475,2148.351514,0.852617498,674.9330444,420.1569912,485.9568958,0.782606634,0.655935692,62.00694883,1.748400696,0.654054201,0.115128004,0.339302551,0.963486229,"(56, 763, 690, 1209)",4.849428085
Abies cephalonica1-1,972,0,0,0,136558,1678.628642,0.899319047,538.3477676,359.6664652,416.9784716,0.74407763,0.684501253,51.13625546,1.856434776,0.61414708,0.097445055,0.31215874,0.980136504,"(339, 372, 864, 752)",5.172167807
Abies nordmanniana1-1,972,0,0,0,565318,2969.695706,0.991946068,946.5646417,767.4247701,848.4015753,0.585396227,0.842792143,35.96732121,1.892064435,0.545196468,0.025473433,0.159598379,0.983691346,"(145, 157, 887, 1061)",5.953880514
Abies religiosa1-1,972,1,0,1,5115,352.0904038,0.863145461,117.3595849,59.84210328,80.70080713,0.860231406,0.626838235,590.2311746,6.415186295,0.505520602,0.12329207,0.351070971,0.917417495,"(34, 547, 154, 615)",5.272602703
Abies religiosa1-1,972,0,0,0,155620,1725.69971,0.904662249,562.8519588,383.5084227,445.1309223,0.731942488,0.646936799,48.76452726,2.580908284,0.566603078,0.120439656,0.34704244,0.989556449,"(228, 267, 771, 710)",5.349895824
Abrus canescens1-1,972,0,0,0,143661,1436.236724,0.995157938,481.5608668,380.0828362,427.6854758,0.614042861,0.784449808,145.7685951,2.240919058,0.598502134,0.045441523,0.213164767,0.979932582,"(215, 354, 687, 742)",6.255936566
Abrus canescens1-2,972,0,0,0,137815,1403.065151,0.996205002,472.6668604,371.4479696,418.8931939,0.618409849,0.783596304,168.0040058,2.412459539,0.595235824,0.046383318,0.21536061,0.98334259,"(280, 362, 655, 831)",5.956463158
Abrus canescens1-3,972,0,0,0,139838,1521.533188,0.977744527,442.1052297,404.4478956,421.9564805,0.403855723,0.722721823,154.8389973,2.01416689,0.670759867,0.075161658,0.274152534,0.98144325,"(314, 421, 731, 885)",5.805202198
Abrus schimperi1-1,972,1,0,1,3119,246.1076477,0.87883911,95.10481854,47.32238509,63.01772878,0.867417309,0.552622254,730.3089615,5.658589692,0.610884457,0.18286037,0.427590618,0.960039713,"(470, 309, 538, 392)",4.156135468
Abrus schimperi1-1,972,1,0,1,1332,202.0660172,0.752542373,85.09870533,25.23866682,41.18197511,0.955007674,0.363934426,822.4726382,6.496938444,0.717085652,0.375358155,0.612632392,0.936205006,"(490, 409, 551, 469)",2.924781629
