,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Abelia grandiflora,Abelia,grandiflora,"36,100",monad,colpate,-,isopolar,prolate,triangular,-,colpus,brevicolpus,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Dipsacales,Caprifoliaceae
Abeliophyllum distichum,Abeliophyllum,distichum,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Oleaceae
Abies cephalonica,Abies,cephalonica,"101,101",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,psilate,perforate,verrucate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Abies concolor,Abies,concolor,"51,100",monad,saccate,-,heteropolar,-,elliptic,bisaccate,leptoma,-,-,-,viscin threads,-,-,-,-,perforate,psilate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Abies nordmanniana,Abies,nordmanniana,"51,101",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,psilate,perforate,-,-,Gymnospermae,Pinales,Pinaceae
Abutilon theophrasti,Abutilon,theophrasti,"51,100",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Callianthe megapotamica,Callianthe,megapotamica,"51,100",monad,porate,-,isopolar,isodiametric,circular,spheroidal,porus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Acacia binervia,Acacia,binervia,"26,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia dealbata,Acacia,dealbata,"51,100",polyad,polyad,-,heteropolar,-,-,-,-,-,-,-,viscin threads,ubisch bodies,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia erioloba,Acacia,erioloba,"36,100",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Fabales,Fabaceae
